menu_name_ja,menu_name_th,price_yen
"タイ古式120分","",10000
"ヘッド&ネック30分+タイ古式60分 計90分","",8000
"タイ古式60分","",5000
"オイルマッサージ120分","",14000
"オイルマッサージ90分","",10500
"オイルマッサージ70分","",8000
"タイ古式＋オイル 計160分","",18000
"タイ古式＋オイル 計130分","",14000
"タイ古式＋オイル 計100分","",10500
"タイ古式＋足ツボ 計130分","",13000
"タイ古式＋足ツボ 計100分","",11000
"タイ古式＋足ツボ 計90分","",8500
"タイ古式(70分)+目と頭のマッサージ(20分) 計90分","",7500
"ヘッド&ネック&目30分 + タイ古式40分 計70分","",6500
"腕のマッサージ 30分","",3500
"タイ古式＋腕 計90分","",8500
"目のマッサージ 15分","",2000
"ヘッドマッサージ 15分","",2000
"顔のマッサージ 15分","",2000
"タイ古式の30分延長","",3000
"オイルマッサージの30分延長","",4000
"フット 30分","",3500
"フット 60分","",6000
"お腹のマッサージ 10分","",2000
